session_id,user_id,region,user_segment,device,variant,peak_hour,rainy_weather,basket_size,trip_distance_km,order_subtotal,delivery_fee,variable_cost,checkout_started,converted_order,cancelled_order,net_completed_order,gross_revenue,contribution_margin
PRC-00072,USR-0072,west,power_user,web,control,0,0,2,3.09,35.53,3.96,2.33,1,1,0,1,10.36,8.03
PRC-00073,USR-0073,north,price_sensitive,ios,control,1,1,3,4.06,39.55,4.52,3.29,1,1,0,1,11.64,8.35
PRC-00074,USR-0074,south,casual,android,treatment,1,0,4,4.88,40.47,5.44,3.37,1,0,0,0,7.28,7.28
PRC-00075,USR-0075,east,power_user,web,control,0,0,5,4.73,42.9,4.06,3.14,1,1,0,1,11.78,8.64
PRC-00076,USR-0076,west,price_sensitive,ios,control,0,0,1,6.26,46.55,4.29,2.88,1,0,0,0,8.38,8.38
PRC-00077,USR-0077,north,casual,android,control,0,0,2,7.09,48.85,4.27,3.21,1,0,0,0,8.79,8.79
PRC-00078,USR-0078,south,power_user,web,treatment,0,0,3,2.01,19.37,3.41,2.24,1,0,0,0,3.49,3.49
PRC-00079,USR-0079,east,price_sensitive,ios,treatment,1,0,4,2.6,22.08,4.32,2.87,1,1,0,1,8.29,5.42
PRC-00080,USR-0080,west,casual,android,treatment,1,0,5,3.81,28.26,5.43,3.29,1,0,0,0,5.09,5.09
PRC-00081,USR-0081,north,power_user,web,treatment,0,1,1,4.51,30.22,4.45,2.74,1,1,0,1,9.89,7.15
PRC-00082,USR-0082,south,price_sensitive,ios,treatment,0,0,2,5.01,32.26,3.56,2.75,1,0,0,0,5.81,5.81
PRC-00083,USR-0083,east,casual,android,treatment,0,0,3,6.25,35.32,4.26,3.17,1,1,0,1,10.62,7.45
PRC-00084,USR-0084,west,power_user,web,control,0,0,4,6.95,37.52,4.37,3.48,1,1,0,1,11.12,7.64
PRC-00085,USR-0085,north,price_sensitive,ios,treatment,1,0,5,1.99,39.52,3.94,2.89,1,1,0,1,11.05,8.16
PRC-00086,USR-0086,south,casual,android,control,1,0,1,3.0,45.37,4.81,2.51,1,0,0,0,8.17,8.17
PRC-00087,USR-0087,east,power_user,web,treatment,0,0,2,3.11,46.43,3.77,2.33,1,0,0,0,8.36,8.36
PRC-00088,USR-0088,west,price_sensitive,ios,treatment,0,0,3,4.4,51.34,3.9,2.77,1,0,0,0,9.24,9.24
PRC-00089,USR-0089,north,casual,android,treatment,0,1,4,4.96,19.77,4.18,3.29,1,1,0,1,7.74,4.45
PRC-00090,USR-0090,south,power_user,web,treatment,0,0,5,5.7,23.32,4.34,3.35,1,1,0,1,8.54,5.19
PRC-00091,USR-0091,east,price_sensitive,ios,control,1,0,1,6.98,26.18,4.92,3.39,1,0,0,0,4.71,4.71
PRC-00092,USR-0092,west,casual,android,control,1,0,2,1.56,29.32,4.26,2.34,1,1,0,1,9.54,7.2
PRC-00093,USR-0093,north,power_user,web,treatment,0,0,3,3.2,31.93,4.21,2.5,1,1,0,1,9.96,7.46
PRC-00094,USR-0094,south,price_sensitive,ios,control,0,0,4,4.3,35.39,4.08,2.9,1,0,0,0,6.37,6.37
PRC-00095,USR-0095,east,casual,android,treatment,0,0,5,4.81,38.68,4.61,3.16,1,1,1,0,6.96,6.96
PRC-00096,USR-0096,west,power_user,web,control,0,0,1,5.5,39.74,4.49,2.71,1,1,0,1,11.64,8.93
PRC-00097,USR-0097,north,price_sensitive,ios,treatment,1,1,2,6.23,42.79,4.88,3.62,1,1,0,1,12.58,8.96
PRC-00098,USR-0098,south,casual,android,treatment,1,0,3,6.33,45.48,5.31,3.54,1,0,0,0,8.19,8.19
PRC-00099,USR-0099,east,power_user,web,treatment,0,0,4,2.36,49.39,3.38,2.47,1,0,0,0,8.89,8.89
PRC-00100,USR-0100,west,price_sensitive,ios,treatment,0,0,5,3.23,19.36,3.79,2.81,1,0,0,0,3.48,3.48
PRC-00101,USR-0101,north,casual,android,control,0,0,1,4.04,25.34,4.03,2.39,1,1,0,1,8.59,6.2
PRC-00102,USR-0102,south,power_user,web,treatment,0,0,2,4.92,25.99,4.52,2.73,1,1,0,1,9.2,6.47
PRC-00103,USR-0103,east,price_sensitive,ios,treatment,1,0,3,5.55,30.6,4.48,3.37,1,0,0,0,5.51,5.51
PRC-00104,USR-0104,west,casual,android,treatment,1,0,4,6.47,31.55,5.54,3.72,1,1,0,1,11.22,7.5
PRC-00105,USR-0105,north,power_user,web,treatment,0,1,5,7.32,34.44,4.96,3.96,1,1,0,1,11.16,7.2
PRC-00106,USR-0106,south,price_sensitive,ios,control,0,0,1,2.23,38.03,3.73,1.99,1,1,0,1,10.58,8.59
PRC-00107,USR-0107,east,casual,android,control,0,0,2,3.26,40.04,3.88,2.37,1,0,0,0,7.21,7.21
PRC-00108,USR-0108,west,power_user,web,treatment,0,0,3,3.11,43.17,4.3,2.48,1,1,0,1,12.07,9.59
PRC-00109,USR-0109,north,price_sensitive,ios,control,1,0,4,4.73,47.75,5.07,3.34,1,0,0,0,8.59,8.59
PRC-00110,USR-0110,south,casual,android,treatment,1,0,5,4.97,48.33,5.41,3.54,1,1,0,1,14.11,10.57
PRC-00111,USR-0111,east,power_user,web,control,0,0,1,6.01,20.86,4.74,2.82,1,1,0,1,8.49,5.67
PRC-00112,USR-0112,west,price_sensitive,ios,control,0,0,2,6.44,22.78,4.32,3.07,1,1,0,1,8.42,5.35
PRC-00113,USR-0113,north,casual,android,treatment,0,1,3,1.76,25.45,3.64,2.44,1,0,0,0,4.58,4.58
PRC-00114,USR-0114,south,power_user,web,treatment,0,0,4,2.64,29.54,3.46,2.53,1,1,0,1,8.78,6.25
PRC-00115,USR-0115,east,price_sensitive,ios,control,1,0,5,3.74,30.65,4.56,3.27,1,0,0,0,5.52,5.52
PRC-00116,USR-0116,west,casual,android,treatment,1,0,1,4.05,35.94,5.4,2.74,1,1,0,1,11.87,9.13
PRC-00117,USR-0117,north,power_user,web,treatment,0,0,2,5.23,38.04,4.0,2.8,1,1,0,1,10.85,8.05
PRC-00118,USR-0118,south,price_sensitive,ios,control,0,0,3,5.98,42.18,4.13,3.12,1,0,0,0,7.59,7.59
PRC-00119,USR-0119,east,casual,android,control,0,0,4,6.98,42.72,4.52,3.49,1,0,0,0,7.69,7.69
PRC-00120,USR-0120,west,power_user,web,control,0,0,5,2.23,47.78,4.1,2.59,1,1,0,1,12.7,10.11
PRC-00121,USR-0121,north,price_sensitive,ios,control,1,1,1,3.33,49.55,5.13,2.83,1,1,0,1,14.05,11.22
PRC-00122,USR-0122,south,casual,android,treatment,1,0,2,4.24,21.59,4.84,2.93,1,1,0,1,8.73,5.8
PRC-00123,USR-0123,east,power_user,web,control,0,0,3,3.99,22.51,3.71,2.68,1,1,0,1,7.76,5.08
PRC-00124,USR-0124,west,price_sensitive,ios,control,0,0,4,5.55,25.61,4.62,3.17,1,1,0,1,9.23,6.06
PRC-00125,USR-0125,north,casual,android,treatment,0,0,5,6.25,30.46,4.61,3.48,1,0,0,0,5.48,5.48
PRC-00126,USR-0126,south,power_user,web,control,0,0,1,7.08,32.51,5.08,3.06,1,0,0,0,5.85,5.85
PRC-00127,USR-0127,east,price_sensitive,ios,control,1,0,2,1.87,34.08,4.65,2.41,1,0,0,0,6.13,6.13
PRC-00128,USR-0128,west,casual,android,control,1,0,3,3.13,36.84,4.83,2.84,1,0,0,0,6.63,6.63
PRC-00129,USR-0129,north,power_user,web,treatment,0,1,4,3.2,41.03,3.5,2.9,1,1,0,1,10.89,7.99
PRC-00130,USR-0130,south,price_sensitive,ios,control,0,0,5,5.05,42.52,4.65,3.21,1,0,0,0,7.65,7.65
PRC-00131,USR-0131,east,casual,android,treatment,0,0,1,5.51,48.6,4.12,2.71,1,1,0,1,12.87,10.16
PRC-00132,USR-0132,west,power_user,web,control,0,0,2,6.6,50.28,4.34,3.1,1,1,0,1,13.39,10.29
PRC-00133,USR-0133,north,price_sensitive,ios,control,1,0,3,6.72,19.32,5.15,3.63,1,0,0,0,3.48,3.48
PRC-00134,USR-0134,south,casual,android,treatment,1,0,4,2.33,23.05,4.57,2.81,1,0,0,0,4.15,4.15
PRC-00135,USR-0135,east,power_user,web,treatment,0,0,5,2.85,26.73,3.69,2.73,1,1,0,1,8.5,5.77
PRC-00136,USR-0136,west,price_sensitive,ios,control,0,0,1,4.29,29.5,4.35,2.44,1,0,0,0,5.31,5.31
PRC-00137,USR-0137,north,casual,android,control,0,1,2,4.33,31.26,4.45,2.85,1,0,0,0,5.63,5.63
PRC-00138,USR-0138,south,power_user,web,treatment,0,0,3,5.36,34.21,4.69,2.98,1,1,0,1,10.85,7.87
PRC-00139,USR-0139,east,price_sensitive,ios,control,1,0,4,6.23,39.81,4.98,3.67,1,1,0,1,12.15,8.48
PRC-00140,USR-0140,west,casual,android,treatment,1,0,5,7.49,39.63,6.06,4.1,1,1,0,1,13.19,9.09
PRC-00141,USR-0141,north,power_user,web,treatment,0,0,1,2.36,43.94,3.77,2.02,1,1,0,1,11.68,9.66
PRC-00142,USR-0142,south,price_sensitive,ios,treatment,0,0,2,2.96,45.95,3.32,2.3,1,0,0,0,8.27,8.27
PRC-00143,USR-0143,east,casual,android,treatment,0,0,3,4.14,51.08,3.88,2.71,1,0,0,0,9.19,9.19
PRC-00144,USR-0144,west,power_user,web,control,0,0,4,4.51,22.27,4.54,2.94,1,1,0,1,8.55,5.61
PRC-00145,USR-0145,north,price_sensitive,ios,treatment,1,1,5,5.29,25.4,4.18,3.86,1,0,0,0,4.57,4.57
PRC-00146,USR-0146,south,casual,android,control,1,0,1,6.15,26.73,5.16,3.2,1,1,0,1,9.97,6.77
PRC-00147,USR-0147,east,power_user,web,treatment,0,0,2,6.58,29.7,4.77,3.1,1,1,0,1,10.12,7.02
PRC-00148,USR-0148,west,price_sensitive,ios,treatment,0,0,3,1.96,33.44,3.39,2.23,1,0,0,0,6.02,6.02
PRC-00149,USR-0149,north,casual,android,treatment,0,0,4,2.34,35.23,3.76,2.46,1,1,0,1,10.1,7.64
PRC-00150,USR-0150,south,power_user,web,treatment,0,0,5,3.73,37.94,3.97,2.92,1,0,0,0,6.83,6.83
PRC-00151,USR-0151,east,price_sensitive,ios,control,1,0,1,4.09,41.59,4.8,2.75,1,0,0,0,7.49,7.49
PRC-00152,USR-0152,west,casual,android,control,1,0,2,5.48,44.62,5.39,3.21,1,0,0,0,8.03,8.03
PRC-00153,USR-0153,north,power_user,web,treatment,0,1,3,5.88,46.43,4.6,3.34,1,0,0,0,8.36,8.36
PRC-00154,USR-0154,south,price_sensitive,ios,treatment,0,0,4,6.38,48.13,4.16,3.35,1,0,0,0,8.66,8.66
PRC-00155,USR-0155,east,casual,android,treatment,0,0,5,2.02,21.61,3.34,2.54,1,0,0,0,3.89,3.89
PRC-00156,USR-0156,west,power_user,web,treatment,0,0,1,3.13,23.45,4.27,2.19,1,1,0,1,8.49,6.3
PRC-00157,USR-0157,north,price_sensitive,ios,control,1,0,2,3.27,26.11,4.71,2.72,1,0,0,0,4.7,4.7
PRC-00158,USR-0158,south,casual,android,treatment,1,0,3,3.99,28.29,5.39,3.03,1,0,0,0,5.09,5.09
PRC-00159,USR-0159,east,power_user,web,control,0,0,4,4.87,33.79,4.28,3.02,1,1,0,1,10.36,7.34
PRC-00160,USR-0160,west,price_sensitive,ios,control,0,0,5,6.58,36.32,4.78,3.55,1,1,0,1,11.32,7.77
PRC-00161,USR-0161,north,casual,android,control,0,1,1,7.07,38.46,4.64,3.31,1,1,0,1,11.56,8.25
PRC-00162,USR-0162,south,power_user,web,control,0,0,2,2.08,40.65,3.58,2.11,1,1,0,1,10.9,8.79
PRC-00163,USR-0163,east,price_sensitive,ios,treatment,1,0,3,3.47,43.23,4.31,2.91,1,1,0,1,12.09,9.18
PRC-00164,USR-0164,west,casual,android,treatment,1,0,4,3.16,47.71,5.0,3.0,1,1,0,1,13.59,10.59
PRC-00165,USR-0165,north,power_user,web,control,0,0,5,4.63,50.8,4.14,3.12,1,1,0,1,13.28,10.16
PRC-00166,USR-0166,south,price_sensitive,ios,treatment,0,0,1,5.49,21.52,4.18,2.71,1,0,0,0,3.87,3.87
PRC-00167,USR-0167,east,casual,android,treatment,0,0,2,5.87,24.16,4.34,2.94,1,0,0,0,4.35,4.35
PRC-00168,USR-0168,west,power_user,web,treatment,0,0,3,6.65,25.12,4.76,3.26,1,1,0,1,9.28,6.02
PRC-00169,USR-0169,north,price_sensitive,ios,treatment,1,1,4,2.14,31.1,4.3,3.02,1,0,0,0,5.6,5.6
PRC-00170,USR-0170,south,casual,android,control,1,0,5,2.88,33.49,4.88,3.08,1,0,0,0,6.03,6.03
PRC-00171,USR-0171,east,power_user,web,control,0,0,1,4.26,33.9,3.88,2.44,1,0,0,0,6.1,6.1
PRC-00172,USR-0172,west,price_sensitive,ios,treatment,0,0,2,5.08,38.93,4.22,2.77,1,0,0,0,7.01,7.01
PRC-00173,USR-0173,north,casual,android,control,0,0,3,4.72,42.07,4.32,2.84,1,1,0,1,11.89,9.05
PRC-00174,USR-0174,south,power_user,web,treatment,0,0,4,6.49,44.25,4.9,3.38,1,1,0,1,12.87,9.49
PRC-00175,USR-0175,east,price_sensitive,ios,control,1,0,5,6.97,48.19,5.72,3.98,1,1,1,0,8.67,8.67
PRC-00176,USR-0176,west,casual,android,treatment,1,0,1,1.86,51.18,4.59,2.26,1,1,0,1,13.8,11.54
PRC-00177,USR-0177,north,power_user,web,control,0,1,2,2.42,20.72,4.22,2.43,1,1,0,1,7.95,5.52
PRC-00178,USR-0178,south,price_sensitive,ios,treatment,0,0,3,4.24,24.5,3.58,2.73,1,0,0,0,4.41,4.41
PRC-00179,USR-0179,east,casual,android,control,0,0,4,4.02,26.25,4.15,2.83,1,1,0,1,8.88,6.05
PRC-00180,USR-0180,west,power_user,web,control,0,0,5,5.23,29.0,4.79,3.25,1,0,0,0,5.22,5.22
PRC-00181,USR-0181,north,price_sensitive,ios,control,1,0,1,6.15,33.0,5.63,3.2,1,1,0,1,11.57,8.37
PRC-00182,USR-0182,south,casual,android,control,1,0,2,7.32,33.93,5.37,3.61,1,0,0,0,6.11,6.11
PRC-00183,USR-0183,east,power_user,web,treatment,0,0,3,1.53,38.49,3.87,2.14,1,1,0,1,10.8,8.66
PRC-00184,USR-0184,west,price_sensitive,ios,treatment,0,0,4,3.22,39.54,3.21,2.66,1,1,0,1,10.33,7.67
PRC-00185,USR-0185,north,casual,android,control,0,1,5,4.18,42.72,3.74,3.27,1,0,0,0,7.69,7.69
PRC-00186,USR-0186,south,power_user,web,control,0,0,1,4.2,45.55,3.9,2.42,1,0,0,0,8.2,8.2
PRC-00187,USR-0187,east,price_sensitive,ios,control,1,0,2,5.65,48.05,4.87,3.24,1,1,0,1,13.52,10.28
PRC-00188,USR-0188,west,casual,android,control,1,0,3,6.13,21.6,5.41,3.5,1,1,0,1,9.3,5.8
PRC-00189,USR-0189,north,power_user,web,treatment,0,0,4,6.9,22.28,4.98,3.47,1,1,0,1,8.99,5.52
PRC-00190,USR-0190,south,price_sensitive,ios,treatment,0,0,5,2.05,26.63,3.68,2.55,1,1,0,1,8.47,5.92
PRC-00191,USR-0191,east,casual,android,control,0,0,1,2.89,30.1,4.33,2.14,1,1,0,1,9.75,7.61
PRC-00192,USR-0192,west,power_user,web,treatment,0,0,2,3.43,30.83,4.08,2.4,1,1,0,1,9.63,7.23
PRC-00193,USR-0193,north,price_sensitive,ios,treatment,1,1,3,4.44,35.36,4.43,3.38,1,1,0,1,10.79,7.41
PRC-00194,USR-0194,south,casual,android,treatment,1,0,4,5.62,38.68,5.55,3.54,1,1,0,1,12.51,8.97
PRC-00195,USR-0195,east,power_user,web,control,0,0,5,6.04,40.49,4.45,3.43,1,1,0,1,11.74,8.31
PRC-00196,USR-0196,west,price_sensitive,ios,treatment,0,0,1,6.48,43.51,4.44,2.93,1,1,0,1,12.27,9.34
PRC-00197,USR-0197,north,casual,android,control,0,0,2,2.39,45.44,4.15,2.18,1,1,0,1,12.33,10.15
PRC-00198,USR-0198,south,power_user,web,treatment,0,0,3,2.45,49.15,3.65,2.34,1,0,0,0,8.85,8.85
PRC-00199,USR-0199,east,price_sensitive,ios,treatment,1,0,4,3.97,22.04,4.68,3.17,1,0,0,0,3.97,3.97
PRC-00200,USR-0200,west,casual,android,control,1,0,5,4.16,23.92,4.98,3.37,1,1,0,1,9.29,5.92
PRC-00201,USR-0201,north,power_user,web,treatment,0,1,1,5.62,26.09,4.42,2.99,1,0,0,0,4.7,4.7
PRC-00202,USR-0202,south,price_sensitive,ios,treatment,0,0,2,6.48,31.11,4.16,3.08,1,0,0,0,5.6,5.6
PRC-00203,USR-0203,east,casual,android,control,0,0,3,7.3,33.85,4.54,3.41,1,1,0,1,10.63,7.22
PRC-00204,USR-0204,west,power_user,web,control,0,0,4,1.51,34.69,4.04,2.28,1,1,0,1,10.28,8.0
PRC-00205,USR-0205,north,price_sensitive,ios,control,1,0,5,2.34,38.62,4.73,2.96,1,1,0,1,11.68,8.72
PRC-00206,USR-0206,south,casual,android,control,1,0,1,3.97,40.6,5.05,2.72,1,0,0,0,7.31,7.31
PRC-00207,USR-0207,east,power_user,web,control,0,0,2,4.09,42.38,4.28,2.55,1,0,0,0,7.63,7.63
PRC-00208,USR-0208,west,price_sensitive,ios,control,0,0,3,5.28,47.42,4.34,2.96,1,1,0,1,12.88,9.92
PRC-00209,USR-0209,north,casual,android,control,0,1,4,5.84,49.5,4.65,3.48,1,1,0,1,13.56,10.08
PRC-00210,USR-0210,south,power_user,web,control,0,0,5,7.02,20.38,4.26,3.64,1,1,0,1,7.93,4.29
PRC-00211,USR-0211,east,price_sensitive,ios,control,1,0,1,1.89,22.79,3.99,2.27,1,0,0,0,4.1,4.1
PRC-00212,USR-0212,west,casual,android,control,1,0,2,3.14,26.13,4.66,2.69,1,0,0,0,4.7,4.7
PRC-00213,USR-0213,north,power_user,web,treatment,0,0,3,4.13,27.95,3.67,2.71,1,1,0,1,8.7,5.99
PRC-00214,USR-0214,south,price_sensitive,ios,treatment,0,0,4,4.59,32.62,3.9,2.96,1,1,0,1,9.77,6.81
PRC-00215,USR-0215,east,casual,android,control,0,0,5,5.66,34.64,4.57,3.35,1,0,0,0,6.24,6.24
PRC-00216,USR-0216,west,power_user,web,treatment,0,0,1,6.51,36.71,4.28,2.93,1,1,0,1,10.89,7.96
PRC-00217,USR-0217,north,price_sensitive,ios,control,1,1,2,6.71,40.39,5.15,3.73,1,1,0,1,12.42,8.69
PRC-00218,USR-0218,south,casual,android,control,1,0,3,2.59,43.98,4.42,2.72,1,0,0,0,7.92,7.92
